Sequence,Volt,Start,Increment
0,8.60000e+00,-1.20000e+01,2.00000e-02
1,7.80000e+00,,
2,8.60000e+00,,
3,7.80000e+00,,
4,8.60000e+00,,
5,7.80000e+00,,
6,8.60000e+00,,
7,7.80000e+00,,
8,8.60000e+00,,
9,7.80000e+00,,
10,8.60000e+00,,
11,7.80000e+00,,
12,8.80000e+00,,
13,6.00000e-01,,
14,1.20000e+00,,
15,4.00000e-01,,
16,8.00000e-01,,
17,8.60000e+00,,
18,8.60000e+00,,
19,7.80000e+00,,
20,8.60000e+00,,
21,7.80000e+00,,
22,8.60000e+00,,
23,7.80000e+00,,
24,8.60000e+00,,
25,7.80000e+00,,
26,8.60000e+00,,
27,7.80000e+00,,
28,8.60000e+00,,
29,7.80000e+00,,
30,8.60000e+00,,
31,7.80000e+00,,
32,8.60000e+00,,
33,7.80000e+00,,
34,8.60000e+00,,
35,7.80000e+00,,
36,8.60000e+00,,
37,7.80000e+00,,
38,8.60000e+00,,
39,7.80000e+00,,
40,8.60000e+00,,
41,7.80000e+00,,
42,8.60000e+00,,
43,4.20000e+00,,
44,3.20000e+00,,
45,4.00000e-01,,
46,4.00000e-01,,
47,8.60000e+00,,
48,8.60000e+00,,
49,7.80000e+00,,
50,8.60000e+00,,
51,7.80000e+00,,
52,8.60000e+00,,
53,7.80000e+00,,
54,8.60000e+00,,
55,7.80000e+00,,
56,8.60000e+00,,
57,7.80000e+00,,
58,8.60000e+00,,
59,7.80000e+00,,
60,8.60000e+00,,
61,7.80000e+00,,
62,8.60000e+00,,
63,7.80000e+00,,
64,8.60000e+00,,
65,7.80000e+00,,
66,8.60000e+00,,
67,7.80000e+00,,
68,8.60000e+00,,
69,7.80000e+00,,
70,8.60000e+00,,
71,7.80000e+00,,
72,8.60000e+00,,
73,7.80000e+00,,
74,8.80000e+00,,
75,4.00000e-01,,
76,1.20000e+00,,
77,4.00000e-01,,
78,1.00000e+00,,
79,8.80000e+00,,
80,8.60000e+00,,
81,7.80000e+00,,
82,8.60000e+00,,
83,7.80000e+00,,
84,8.60000e+00,,
85,7.80000e+00,,
86,8.60000e+00,,
87,7.80000e+00,,
88,8.60000e+00,,
89,7.80000e+00,,
90,8.60000e+00,,
91,7.80000e+00,,
92,8.60000e+00,,
93,7.80000e+00,,
94,8.60000e+00,,
95,7.80000e+00,,
96,8.60000e+00,,
97,7.80000e+00,,
98,8.60000e+00,,
99,7.80000e+00,,
100,8.60000e+00,,
101,7.80000e+00,,
102,8.60000e+00,,
103,7.80000e+00,,
104,8.80000e+00,,
105,2.60000e+00,,
106,2.00000e+00,,
107,4.00000e-01,,
108,4.00000e-01,,
109,8.60000e+00,,
110,8.60000e+00,,
111,7.80000e+00,,
112,8.60000e+00,,
113,7.80000e+00,,
114,8.60000e+00,,
115,7.80000e+00,,
116,8.60000e+00,,
117,7.80000e+00,,
118,8.60000e+00,,
119,7.80000e+00,,
120,8.60000e+00,,
121,7.80000e+00,,
122,8.60000e+00,,
123,7.80000e+00,,
124,8.60000e+00,,
125,7.80000e+00,,
126,8.60000e+00,,
127,7.80000e+00,,
128,8.60000e+00,,
129,7.80000e+00,,
130,8.60000e+00,,
131,7.80000e+00,,
132,8.60000e+00,,
133,7.80000e+00,,
134,8.60000e+00,,
135,7.80000e+00,,
136,8.80000e+00,,
137,4.00000e-01,,
138,1.20000e+00,,
139,4.00000e-01,,
140,1.20000e+00,,
141,8.60000e+00,,
142,8.60000e+00,,
143,7.80000e+00,,
144,8.60000e+00,,
145,7.80000e+00,,
146,8.60000e+00,,
147,7.80000e+00,,
148,8.60000e+00,,
149,7.80000e+00,,
150,8.60000e+00,,
151,7.80000e+00,,
152,8.60000e+00,,
153,7.80000e+00,,
154,8.60000e+00,,
155,7.80000e+00,,
156,8.60000e+00,,
157,7.80000e+00,,
158,8.60000e+00,,
159,7.80000e+00,,
160,8.60000e+00,,
161,7.80000e+00,,
162,8.60000e+00,,
163,7.80000e+00,,
164,8.60000e+00,,
165,7.80000e+00,,
166,8.80000e+00,,
167,1.60000e+00,,
168,1.20000e+00,,
169,4.00000e-01,,
170,6.00000e-01,,
171,8.60000e+00,,
172,8.80000e+00,,
173,7.80000e+00,,
174,8.60000e+00,,
175,7.80000e+00,,
176,8.60000e+00,,
177,7.80000e+00,,
178,7.80000e+00,,
179,8.60000e+00,,
180,8.60000e+00,,
181,7.80000e+00,,
