Sequence,Volt,Start,Increment
0,8.40000e+00,-6.00000e+00,1.00000e-02
1,8.00000e+00,,
2,8.40000e+00,,
3,8.00000e+00,,
4,8.40000e+00,,
5,8.00000e+00,,
6,8.40000e+00,,
7,8.00000e+00,,
8,8.40000e+00,,
9,8.00000e+00,,
10,8.40000e+00,,
11,8.00000e+00,,
12,8.40000e+00,,
13,8.00000e+00,,
14,8.40000e+00,,
15,8.00000e+00,,
16,8.40000e+00,,
17,8.00000e+00,,
18,8.40000e+00,,
19,8.00000e+00,,
20,8.40000e+00,,
21,8.00000e+00,,
22,8.40000e+00,,
23,8.00000e+00,,
24,8.40000e+00,,
25,8.00000e+00,,
26,8.40000e+00,,
27,8.00000e+00,,
28,8.40000e+00,,
29,8.00000e+00,,
30,8.40000e+00,,
31,8.00000e+00,,
32,8.00000e+00,,
33,8.40000e+00,,
34,8.40000e+00,,
35,8.00000e+00,,
36,8.40000e+00,,
37,8.00000e+00,,
38,8.40000e+00,,
39,8.00000e+00,,
40,8.40000e+00,,
41,8.00000e+00,,
42,8.40000e+00,,
43,8.00000e+00,,
44,8.40000e+00,,
45,8.00000e+00,,
46,8.40000e+00,,
47,8.00000e+00,,
48,8.40000e+00,,
49,8.00000e+00,,
50,8.40000e+00,,
51,8.00000e+00,,
52,8.00000e+00,,
53,8.40000e+00,,
54,8.20000e+00,,
55,2.00000e-01,,
56,4.00000e-01,,
57,0.00000e+00,,
58,0.00000e+00,,
59,8.00000e-01,,
60,8.00000e-01,,
61,8.40000e+00,,
62,8.40000e+00,,
63,8.00000e+00,,
64,8.00000e+00,,
65,8.40000e+00,,
66,8.40000e+00,,
67,8.00000e+00,,
68,8.40000e+00,,
69,8.00000e+00,,
70,8.00000e+00,,
71,8.40000e+00,,
72,8.40000e+00,,
73,8.00000e+00,,
74,8.00000e+00,,
75,8.40000e+00,,
76,8.00000e+00,,
77,8.40000e+00,,
78,8.00000e+00,,
79,8.40000e+00,,
80,8.00000e+00,,
81,8.40000e+00,,
82,8.00000e+00,,
83,8.40000e+00,,
84,8.40000e+00,,
85,8.00000e+00,,
86,8.40000e+00,,
87,8.00000e+00,,
88,8.40000e+00,,
89,8.00000e+00,,
90,8.40000e+00,,
91,8.00000e+00,,
92,8.40000e+00,,
93,8.00000e+00,,
94,8.00000e+00,,
95,8.40000e+00,,
96,8.00000e+00,,
97,8.40000e+00,,
98,8.40000e+00,,
99,8.00000e+00,,
100,8.40000e+00,,
101,8.00000e+00,,
102,8.40000e+00,,
103,8.00000e+00,,
104,8.00000e+00,,
105,8.40000e+00,,
106,8.40000e+00,,
107,8.00000e+00,,
108,8.00000e+00,,
109,8.40000e+00,,
110,8.00000e+00,,
111,8.40000e+00,,
112,8.40000e+00,,
113,8.00000e+00,,
114,8.00000e+00,,
115,8.40000e+00,,
116,8.20000e+00,,
117,0.00000e+00,,
118,4.00000e-01,,
119,0.00000e+00,,
120,0.00000e+00,,
121,1.40000e+00,,
122,1.60000e+00,,
123,8.40000e+00,,
124,8.00000e+00,,
125,8.40000e+00,,
126,8.40000e+00,,
127,8.00000e+00,,
128,8.00000e+00,,
129,8.40000e+00,,
130,8.00000e+00,,
131,8.40000e+00,,
132,8.40000e+00,,
133,8.00000e+00,,
134,8.40000e+00,,
135,8.00000e+00,,
136,8.00000e+00,,
137,8.40000e+00,,
